instant,season,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,count
1,1,1,0,0,0,1,0.37,0.6925,0.192167,2294
2,1,1,1,1,0,1,0.273043,0.381304,0.329665,1951
3,1,1,0,2,1,1,0.15,0.44125,0.365671,2236
4,1,1,0,3,1,2,0.1075,0.414583,0.1847,2368
5,1,1,0,4,1,1,0.265833,0.524167,0.129987,3272
6,1,1,0,5,1,1,0.334167,0.542083,0.167908,4098
7,1,1,0,6,0,1,0.393333,0.531667,0.174758,4521
8,1,1,0,0,0,1,0.3375,0.465,0.191542,3425
9,1,1,0,1,1,2,0.224167,0.701667,0.0989,2376
10,1,1,0,2,1,1,0.308696,0.646522,0.187552,3598
11,1,1,0,3,1,2,0.274167,0.8475,0.131221,2177
12,1,1,0,4,1,2,0.3825,0.802917,0.180967,4097
13,1,1,0,5,1,1,0.274167,0.5075,0.378108,3214
14,1,1,0,6,0,1,0.18,0.4575,0.187183,2493
15,1,1,0,0,0,1,0.166667,0.419167,0.251258,2311
16,1,1,1,1,0,1,0.19,0.5225,0.231358,2298
17,1,1,0,2,1,2,0.373043,0.716087,0.34913,2935
18,1,1,0,3,1,1,0.303333,0.443333,0.415429,3376
19,1,1,0,4,1,1,0.19,0.4975,0.220158,3292
20,1,1,0,5,1,2,0.2175,0.45,0.20275,3163
21,1,1,0,6,0,2,0.173333,0.83125,0.222642,1301
22,1,1,0,0,0,2,0.1625,0.79625,0.199638,1977
23,1,1,0,1,1,2,0.218333,0.91125,0.110708,2432
24,1,1,0,2,1,1,0.3425,0.835833,0.123767,4339
25,1,1,0,3,1,1,0.294167,0.64375,0.161071,4270
26,1,1,0,4,1,2,0.341667,0.769583,0.0733958,4075
27,1,1,0,5,1,2,0.425,0.74125,0.342667,3456
28,1,1,0,6,0,1,0.315833,0.543333,0.210829,4023
29,1,1,0,0,0,1,0.2825,0.31125,0.24005,3243
30,1,1,0,1,1,1,0.269167,0.400833,0.215792,3624
31,1,1,0,2,1,1,0.39,0.416667,0.261817,4509
32,1,2,0,3,1,1,0.469167,0.507917,0.189067,4579
33,1,2,0,4,1,2,0.399167,0.672917,0.187187,3761
34,1,2,0,5,1,1,0.313333,0.526667,0.178496,4151
35,1,2,0,6,0,2,0.264167,0.779583,0.121896,2832
36,1,2,0,0,0,2,0.265833,0.687917,0.175996,2947
37,1,2,0,1,1,1,0.282609,0.622174,0.1538,3784
38,1,2,0,2,1,1,0.354167,0.49625,0.147379,4375
39,1,2,0,3,1,2,0.256667,0.722917,0.133721,2802
40,1,2,0,4,1,1,0.265,0.562083,0.194037,3830
41,1,2,0,5,1,2,0.280833,0.54,0.116929,3831
42,1,2,0,6,0,3,0.224167,0.73125,0.289796,2169
43,1,2,0,0,0,1,0.1275,0.464583,0.409212,1529
44,1,2,0,1,1,1,0.2225,0.41125,0.167283,3422
45,1,2,0,2,1,2,0.319167,0.50875,0.141179,3922
46,1,2,0,3,1,1,0.348333,0.53125,0.1816,4169
47,1,2,0,4,1,2,0.316667,0.752917,0.091425,3005
48,1,2,0,5,1,1,0.343333,0.634583,0.205846,4154
49,1,2,0,6,0,1,0.346667,0.534583,0.190929,4318
50,1,2,0,0,0,2,0.28,0.515833,0.253112,2689
51,1,2,1,1,0,1,0.28,0.507826,0.229083,3129
52,1,2,0,2,1,1,0.287826,0.594348,0.205717,3777
53,1,2,0,3,1,1,0.395833,0.567917,0.234471,4773
54,1,2,0,4,1,1,0.454167,0.554583,0.190913,5062
55,1,2,0,5,1,2,0.4075,0.7375,0.237567,3487
56,1,2,0,6,0,1,0.290833,0.395833,0.421642,2732
57,1,2,0,0,0,1,0.279167,0.41,0.205229,3389
58,1,2,0,1,1,1,0.366667,0.490833,0.268033,4322
59,1,2,0,2,1,1,0.359167,0.395833,0.193417,4363
60,1,2,0,3,1,2,0.344348,0.804783,0.179117,1834
61,1,3,0,4,1,1,0.485833,0.615417,0.226987,4990
62,1,3,0,5,1,2,0.353333,0.657083,0.144904,3194
63,1,3,0,6,0,2,0.414167,0.62125,0.161079,4066
64,1,3,0,0,0,1,0.325833,0.403333,0.334571,3423
65,1,3,0,1,1,1,0.243333,0.50625,0.228858,3333
66,1,3,0,2,1,1,0.258333,0.456667,0.200875,3956
67,1,3,0,3,1,1,0.404167,0.513333,0.345779,4916
68,1,3,0,4,1,1,0.5275,0.5675,0.441563,5382
69,1,3,0,5,1,2,0.410833,0.407083,0.4148,4569
70,1,3,0,6,0,1,0.2875,0.350417,0.22575,4118
71,1,3,0,0,0,1,0.361739,0.476957,0.222587,4911
72,1,3,0,1,1,1,0.466667,0.489167,0.207713,5298
73,1,3,0,2,1,1,0.565,0.6175,0.23695,5847
74,1,3,0,3,1,1,0.5725,0.507083,0.115062,6312
75,1,3,0,4,1,1,0.5575,0.579583,0.149883,6192
76,1,3,0,5,1,2,0.435833,0.842083,0.113192,4378
77,1,3,0,6,0,2,0.514167,0.755833,0.110704,7836
78,1,3,0,0,0,2,0.4725,0.81,0.126883,5892
79,1,3,0,1,1,1,0.545,0.72875,0.162317,6153
80,1,3,0,2,1,1,0.560833,0.807917,0.121271,6093
81,2,3,0,3,1,2,0.531667,0.82125,0.0895583,6230
82,2,3,0,4,1,1,0.554167,0.83125,0.117562,6871
83,2,3,0,5,1,2,0.601667,0.694167,0.1163,8362
84,2,3,0,6,0,2,0.5025,0.885417,0.192783,3372
85,2,3,0,0,0,2,0.4375,0.880833,0.220775,4996
86,2,3,0,1,1,1,0.445833,0.477917,0.386821,5558
87,2,3,0,2,1,1,0.323333,0.29,0.187192,5102
88,2,3,0,3,1,1,0.484167,0.48125,0.291671,5698
89,2,3,0,4,1,1,0.494167,0.439167,0.31965,6133
90,2,3,0,5,1,2,0.37,0.580833,0.138067,5459
91,2,3,0,6,0,2,0.424167,0.738333,0.250617,6235
92,2,4,0,0,0,2,0.425833,0.67625,0.172267,6041
93,2,4,0,1,1,1,0.433913,0.504348,0.312139,5936
94,2,4,0,2,1,1,0.466667,0.396667,0.100133,6772
95,2,4,0,3,1,1,0.541667,0.469583,0.180975,6436
96,2,4,0,4,1,1,0.435,0.374167,0.219529,6457
97,2,4,0,5,1,1,0.403333,0.377083,0.300388,6460
98,2,4,0,6,0,1,0.4375,0.254167,0.274871,6857
99,2,4,0,0,0,1,0.5,0.275833,0.232596,5169
100,2,4,0,1,1,1,0.489167,0.3175,0.358196,5585
101,2,4,0,2,1,1,0.446667,0.435,0.249375,5918
102,2,4,0,3,1,1,0.348696,0.469565,0.295274,4862
103,2,4,0,4,1,1,0.3975,0.46625,0.290429,5409
104,2,4,0,5,1,1,0.4425,0.408333,0.155471,6398
105,2,4,0,6,0,1,0.495,0.502917,0.190917,7460
106,2,4,0,0,0,1,0.606667,0.507917,0.225129,7132
107,2,4,1,1,0,1,0.664167,0.561667,0.284829,6370
108,2,4,0,2,1,1,0.608333,0.390417,0.273629,6691
109,2,4,0,3,1,2,0.463333,0.569167,0.167912,4367
110,2,4,0,4,1,1,0.498333,0.6125,0.0659292,6565
111,2,4,0,5,1,1,0.526667,0.694583,0.149871,7290
112,2,4,0,6,0,1,0.57,0.682917,0.283587,6624
113,2,4,0,0,0,3,0.396667,0.835417,0.344546,1027
114,2,4,0,1,1,2,0.321667,0.766667,0.303496,3214
115,2,4,0,2,1,1,0.413333,0.454167,0.249383,5633
116,2,4,0,3,1,1,0.476667,0.427917,0.118792,6196
117,2,4,0,4,1,2,0.498333,0.756667,0.176625,5026
118,2,4,0,5,1,1,0.4575,0.400833,0.347633,6233
119,2,4,0,6,0,2,0.376667,0.489583,0.129975,4220
120,2,4,0,0,0,1,0.458333,0.587083,0.116908,6304
121,2,4,0,1,1,2,0.464167,0.57,0.171638,5572
122,2,5,0,2,1,2,0.613333,0.659583,0.156096,5740
123,2,5,0,3,1,1,0.564167,0.797083,0.138058,6169
124,2,5,0,4,1,2,0.56,0.768333,0.133696,6421
125,2,5,0,5,1,1,0.6275,0.735417,0.162938,6296
126,2,5,0,6,0,2,0.621667,0.756667,0.152992,6883
127,2,5,0,0,0,2,0.5625,0.74,0.149879,6359
128,2,5,0,1,1,2,0.5375,0.664167,0.230721,6273
129,2,5,0,2,1,2,0.581667,0.685833,0.296029,5728
130,2,5,0,3,1,2,0.575,0.744167,0.216412,4717
131,2,5,0,4,1,1,0.505833,0.552083,0.314063,6572
132,2,5,0,5,1,1,0.533333,0.360417,0.236937,7030
133,2,5,0,6,0,1,0.564167,0.480417,0.123133,7429
134,2,5,0,0,0,1,0.6125,0.57625,0.225117,6118
135,2,5,0,1,1,2,0.573333,0.789583,0.212692,2843
136,2,5,0,2,1,2,0.611667,0.794583,0.147392,5115
137,2,5,0,3,1,1,0.636667,0.697917,0.122512,7424
138,2,5,0,4,1,1,0.593333,0.52,0.229475,7384
139,2,5,0,5,1,1,0.564167,0.523333,0.136817,7639
140,2,5,0,6,0,1,0.6,0.45625,0.083975,8294
141,2,5,0,0,0,1,0.620833,0.530417,0.254367,7129
142,2,5,0,1,1,2,0.598333,0.81125,0.233204,4359
143,2,5,0,2,1,2,0.615,0.765833,0.118167,6073
144,2,5,0,3,1,2,0.621667,0.774583,0.102,5260
145,2,5,0,4,1,1,0.655,0.716667,0.172896,6770
146,2,5,0,5,1,1,0.68,0.747083,0.14055,6734
147,2,5,0,6,0,1,0.6925,0.7325,0.198992,6536
148,2,5,0,0,0,1,0.69,0.697083,0.215171,6591
149,2,5,1,1,0,1,0.7125,0.67625,0.196521,6043
150,2,5,0,2,1,1,0.7225,0.684583,0.2954,5743
151,2,5,0,3,1,2,0.656667,0.67,0.134329,6855
152,2,5,0,4,1,1,0.68,0.492917,0.195279,7338
153,2,6,0,5,1,2,0.654167,0.755417,0.237563,4127
154,2,6,0,6,0,1,0.583333,0.549167,0.186562,8120
155,2,6,0,0,0,1,0.6025,0.493333,0.184087,7641
156,2,6,0,1,1,1,0.5975,0.487083,0.284833,6998
157,2,6,0,2,1,2,0.540833,0.613333,0.209575,7001
158,2,6,0,3,1,1,0.554167,0.61125,0.077125,7055
159,2,6,0,4,1,1,0.6025,0.567083,0.15735,7494
160,2,6,0,5,1,1,0.649167,0.467917,0.175383,7736
161,2,6,0,6,0,1,0.710833,0.437083,0.144287,7498
162,2,6,0,0,0,1,0.726667,0.538333,0.133721,6598
163,2,6,0,1,1,2,0.720833,0.587917,0.207713,6664
164,2,6,0,2,1,2,0.653333,0.833333,0.214546,4972
165,2,6,0,3,1,1,0.655833,0.582083,0.343279,7421
166,2,6,0,4,1,1,0.648333,0.569583,0.253733,7363
167,2,6,0,5,1,1,0.639167,0.589583,0.176617,7665
168,2,6,0,6,0,1,0.631667,0.504167,0.166667,7702
169,2,6,0,0,0,1,0.5925,0.59875,0.144904,6978
170,2,6,0,1,1,2,0.568333,0.777917,0.174746,5099
171,2,6,0,2,1,1,0.688333,0.69,0.148017,6825
172,2,6,0,3,1,1,0.7825,0.592083,0.113812,6211
173,3,6,0,4,1,1,0.805833,0.567917,0.118787,5905
174,3,6,0,5,1,1,0.7775,0.57375,0.182842,5823
175,3,6,0,6,0,1,0.731667,0.534583,0.179721,7458
176,3,6,0,0,0,1,0.743333,0.479167,0.145525,6891
177,3,6,0,1,1,1,0.715833,0.504167,0.300383,6779
178,3,6,0,2,1,1,0.630833,0.373333,0.347642,7442
179,3,6,0,3,1,1,0.6975,0.36,0.271775,7335
180,3,6,0,4,1,1,0.749167,0.4225,0.17165,6879
181,3,6,0,5,1,1,0.834167,0.48875,0.165417,5463
182,3,6,0,6,0,1,0.765,0.60125,0.161071,5687
183,3,7,0,0,0,1,0.815833,0.51875,0.168529,5531
184,3,7,0,1,1,1,0.781667,0.447083,0.195267,6227
185,3,7,0,2,1,1,0.780833,0.492083,0.126237,6660
186,3,7,1,3,0,1,0.789167,0.53875,0.13495,7403
187,3,7,0,4,1,1,0.8275,0.457917,0.194029,6241
188,3,7,0,5,1,1,0.828333,0.450833,0.146142,6207
189,3,7,0,6,0,1,0.861667,0.492083,0.163554,4840
190,3,7,0,0,0,1,0.8225,0.57375,0.125629,4672
191,3,7,0,1,1,2,0.710833,0.683333,0.180975,6569
192,3,7,0,2,1,2,0.720833,0.6675,0.151737,6290
193,3,7,0,3,1,1,0.716667,0.633333,0.151733,7264
194,3,7,0,4,1,1,0.715833,0.529583,0.146775,7446
195,3,7,0,5,1,2,0.731667,0.485833,0.08085,7499
196,3,7,0,6,0,2,0.703333,0.699167,0.143679,6969
197,3,7,0,0,0,1,0.745833,0.717917,0.166667,6031
198,3,7,0,1,1,1,0.763333,0.645,0.164187,6830
199,3,7,0,2,1,1,0.818333,0.505833,0.114429,6786
200,3,7,0,3,1,1,0.793333,0.577083,0.137442,5713
201,3,7,0,4,1,1,0.77,0.600417,0.165429,6591
202,3,7,0,5,1,2,0.665833,0.844167,0.208967,5870
203,3,7,0,6,0,3,0.595833,0.865417,0.2133,4459
204,3,7,0,0,0,2,0.6675,0.7625,0.0939208,7410
205,3,7,0,1,1,1,0.741667,0.694167,0.138683,6966
206,3,7,0,2,1,1,0.750833,0.655,0.211454,7592
207,3,7,0,3,1,1,0.724167,0.45,0.1648,8173
208,3,7,0,4,1,1,0.776667,0.596667,0.284813,6861
209,3,7,0,5,1,1,0.781667,0.594583,0.152992,6904
210,3,7,0,6,0,1,0.755833,0.613333,0.15735,6685
211,3,7,0,0,0,1,0.721667,0.62375,0.170396,6597
212,3,7,0,1,1,1,0.730833,0.66875,0.153617,7105
213,3,7,0,2,1,1,0.713333,0.704167,0.165425,7216
214,3,8,0,3,1,1,0.7175,0.6775,0.141179,7580
215,3,8,0,4,1,1,0.7525,0.659583,0.129354,7261
216,3,8,0,5,1,2,0.765833,0.6425,0.215792,7175
217,3,8,0,6,0,1,0.793333,0.613333,0.257458,6824
218,3,8,0,0,0,1,0.769167,0.6525,0.290421,5464
219,3,8,0,1,1,2,0.7525,0.654167,0.129354,7013
220,3,8,0,2,1,2,0.735833,0.70375,0.116908,7273
221,3,8,0,3,1,2,0.75,0.672917,0.1107,7534
222,3,8,0,4,1,1,0.755833,0.620417,0.1561,7286
223,3,8,0,5,1,2,0.715833,0.715833,0.238813,5786
224,3,8,0,6,0,2,0.6925,0.732917,0.206479,6299
225,3,8,0,0,0,1,0.700833,0.530417,0.122512,6544
226,3,8,0,1,1,1,0.720833,0.545417,0.136212,6883
227,3,8,0,2,1,1,0.726667,0.686667,0.169158,6784
228,3,8,0,3,1,1,0.706667,0.619583,0.169771,7347
229,3,8,0,4,1,1,0.719167,0.519167,0.141796,7605
230,3,8,0,5,1,1,0.723333,0.570833,0.231354,7148
231,3,8,0,6,0,1,0.678333,0.603333,0.177867,7865
232,3,8,0,0,0,2,0.635833,0.711667,0.08645,4549
233,3,8,0,1,1,2,0.635833,0.734167,0.129979,6530
234,3,8,0,2,1,1,0.649167,0.67375,0.0727708,7006
235,3,8,0,3,1,1,0.6675,0.677083,0.0702833,7375
236,3,8,0,4,1,1,0.695833,0.635833,0.0845958,7765
237,3,8,0,5,1,2,0.7025,0.615,0.0721458,7582
238,3,8,0,6,0,2,0.661667,0.712917,0.244408,6053
239,3,8,0,0,0,2,0.653333,0.845833,0.228858,5255
240,3,8,0,1,1,1,0.703333,0.730417,0.128733,6917
241,3,8,0,2,1,1,0.728333,0.62,0.190925,7040
242,3,8,0,3,1,1,0.685,0.552083,0.112562,7697
243,3,8,0,4,1,1,0.706667,0.590417,0.0771167,7713
244,3,8,0,5,1,1,0.764167,0.5875,0.168533,7350
245,3,9,0,6,0,2,0.753333,0.638333,0.113187,6140
246,3,9,0,0,0,2,0.696667,0.815,0.0640708,5810
247,3,9,1,1,0,1,0.7075,0.790833,0.151121,6034
248,3,9,0,2,1,1,0.725833,0.755,0.236321,6864
249,3,9,0,3,1,1,0.736667,0.74125,0.187808,7112
250,3,9,0,4,1,2,0.696667,0.810417,0.142421,6203
251,3,9,0,5,1,1,0.703333,0.73625,0.171646,7504
252,3,9,0,6,0,2,0.659167,0.799167,0.281104,5976
253,3,9,0,0,0,1,0.61,0.5475,0.224496,8227
254,3,9,0,1,1,1,0.583333,0.50375,0.258713,7525
255,3,9,0,2,1,1,0.5775,0.52,0.0920542,7767
256,3,9,0,3,1,1,0.599167,0.577083,0.131846,7870
257,3,9,0,4,1,1,0.6125,0.637083,0.0827208,7804
258,3,9,0,5,1,1,0.633333,0.6725,0.103863,8009
259,3,9,0,6,0,1,0.608333,0.501667,0.247521,8714
260,3,9,0,0,0,1,0.58,0.57,0.0901833,7333
261,3,9,0,1,1,2,0.580833,0.734583,0.151742,6869
262,3,9,0,2,1,2,0.623333,0.8725,0.357587,4073
263,3,9,0,3,1,1,0.5525,0.536667,0.215175,7591
264,3,9,0,4,1,1,0.546667,0.618333,0.118167,7720
265,3,9,0,5,1,1,0.599167,0.66875,0.154229,8167
266,3,9,0,6,0,1,0.65,0.646667,0.283583,8395
267,4,9,0,0,0,1,0.529167,0.467083,0.223258,7907
268,4,9,0,1,1,1,0.514167,0.492917,0.142404,7436
269,4,9,0,2,1,1,0.55,0.57,0.236321,7538
270,4,9,0,3,1,1,0.635,0.630833,0.2444,7733
271,4,9,0,4,1,2,0.65,0.690833,0.134342,7393
272,4,9,0,5,1,2,0.619167,0.69,0.164179,7415
273,4,9,0,6,0,1,0.5425,0.542917,0.227604,8555
274,4,9,0,0,0,1,0.526667,0.583333,0.134958,6889
275,4,10,0,1,1,2,0.520833,0.649167,0.0908042,6778
276,4,10,0,2,1,3,0.590833,0.871667,0.104475,4639
277,4,10,0,3,1,2,0.6575,0.79375,0.0665458,7572
278,4,10,0,4,1,2,0.6575,0.722917,0.117546,7328
279,4,10,0,5,1,1,0.615,0.6275,0.10635,8156
280,4,10,0,6,0,1,0.554167,0.664167,0.268025,7965
281,4,10,0,0,0,2,0.415833,0.708333,0.141162,3510
282,4,10,1,1,0,2,0.383333,0.709583,0.189679,5478
283,4,10,0,2,1,2,0.446667,0.761667,0.1903,6392
284,4,10,0,3,1,1,0.514167,0.630833,0.187821,7691
285,4,10,0,4,1,1,0.435,0.463333,0.181596,7570
286,4,10,0,5,1,1,0.4375,0.539167,0.235092,7282
287,4,10,0,6,0,1,0.393333,0.494583,0.146142,7109
288,4,10,0,0,0,1,0.521667,0.640417,0.278612,6639
289,4,10,0,1,1,2,0.561667,0.7075,0.296037,5875
290,4,10,0,2,1,1,0.468333,0.558333,0.182221,7534
291,4,10,0,3,1,1,0.455833,0.692917,0.101371,7461
292,4,10,0,4,1,2,0.5225,0.728333,0.236937,7509
293,4,10,0,5,1,2,0.563333,0.815,0.134954,5424
294,4,10,0,6,0,1,0.484167,0.572917,0.117537,8090
295,4,10,0,0,0,1,0.464167,0.51,0.166054,6824
296,4,10,0,1,1,1,0.4875,0.568333,0.0814833,7058
297,4,10,0,2,1,1,0.544167,0.641667,0.0945458,7466
298,4,10,0,3,1,1,0.5875,0.63625,0.0727792,7693
299,4,10,0,4,1,2,0.55,0.800417,0.124375,7359
300,4,10,0,5,1,2,0.545833,0.807083,0.132467,7444
301,4,10,0,6,0,2,0.53,0.72,0.235692,7852
302,4,10,0,0,0,2,0.4775,0.694583,0.398008,4459
303,4,10,0,1,1,3,0.44,0.88,0.3582,22
304,4,10,0,2,1,2,0.318182,0.825455,0.213009,1096
305,4,10,0,3,1,2,0.3575,0.666667,0.166667,5566
306,4,11,0,4,1,2,0.365833,0.581667,0.157346,5986
307,4,11,0,5,1,1,0.355,0.522083,0.266175,5847
308,4,11,0,6,0,2,0.343333,0.49125,0.270529,5138
309,4,11,0,0,0,1,0.325833,0.532917,0.179108,5107
310,4,11,0,1,1,1,0.319167,0.494167,0.236325,5259
311,4,11,0,2,1,1,0.280833,0.567083,0.173513,5686
312,4,11,0,3,1,2,0.295833,0.5475,0.304108,5035
313,4,11,0,4,1,1,0.352174,0.333478,0.347835,5315
314,4,11,0,5,1,1,0.361667,0.540833,0.214558,5992
315,4,11,0,6,0,1,0.389167,0.645417,0.0578458,6536
316,4,11,0,0,0,1,0.420833,0.659167,0.1275,6852
317,4,11,1,1,0,1,0.485,0.741667,0.173517,6269
318,4,11,0,2,1,2,0.343333,0.662917,0.342046,4094
319,4,11,0,3,1,1,0.289167,0.552083,0.199625,5495
320,4,11,0,4,1,2,0.321667,0.620417,0.152987,5445
321,4,11,0,5,1,1,0.345,0.524583,0.171025,5698
322,4,11,0,6,0,1,0.325,0.545417,0.179729,5629
323,4,11,0,0,0,1,0.3425,0.692917,0.227612,4669
324,4,11,0,1,1,2,0.380833,0.623333,0.235067,5499
325,4,11,0,2,1,2,0.374167,0.685,0.082725,5634
326,4,11,0,3,1,1,0.353333,0.61375,0.103246,5146
327,4,11,1,4,0,1,0.34,0.580417,0.0528708,2425
328,4,11,0,5,1,1,0.368333,0.56875,0.148021,3910
329,4,11,0,6,0,1,0.278333,0.404583,0.376871,2277
330,4,11,0,0,0,1,0.245833,0.468333,0.1505,2424
331,4,11,0,1,1,1,0.313333,0.535417,0.04665,5087
332,4,11,0,2,1,2,0.291667,0.786667,0.237562,3959
333,4,11,0,3,1,1,0.296667,0.50625,0.210821,5260
334,4,11,0,4,1,1,0.28087,0.555652,0.115522,5323
335,4,11,0,5,1,1,0.298333,0.649583,0.0584708,5668
336,4,12,0,6,0,2,0.298333,0.806667,0.0597042,5191
337,4,12,0,0,0,2,0.3475,0.823333,0.124379,4649
338,4,12,0,1,1,1,0.4525,0.7675,0.0827208,6234
339,4,12,0,2,1,1,0.475833,0.73375,0.174129,6606
340,4,12,0,3,1,1,0.438333,0.485,0.324021,5729
341,4,12,0,4,1,1,0.255833,0.50875,0.174754,5375
342,4,12,0,5,1,2,0.320833,0.764167,0.1306,5008
343,4,12,0,6,0,2,0.381667,0.91125,0.101379,5582
344,4,12,0,0,0,2,0.384167,0.905417,0.157975,3228
345,4,12,0,1,1,2,0.435833,0.925,0.190308,5170
346,4,12,0,2,1,2,0.353333,0.596667,0.296037,5501
347,4,12,0,3,1,2,0.2975,0.538333,0.162937,5319
348,4,12,0,4,1,1,0.295833,0.485833,0.174129,5532
349,4,12,0,5,1,1,0.281667,0.642917,0.131229,5611
350,4,12,0,6,0,1,0.324167,0.650417,0.10635,5047
351,4,12,0,0,0,2,0.3625,0.83875,0.100742,3786
352,4,12,0,1,1,2,0.393333,0.907083,0.0982583,4585
353,4,12,0,2,1,1,0.410833,0.66625,0.221404,5557
354,4,12,0,3,1,1,0.3325,0.625417,0.184092,5267
355,4,12,0,4,1,2,0.33,0.667917,0.132463,4128
356,1,12,0,5,1,2,0.326667,0.556667,0.374383,3623
357,1,12,0,6,0,1,0.265833,0.44125,0.407346,1749
358,1,12,0,0,0,1,0.245833,0.515417,0.133083,1787
359,1,12,0,1,1,2,0.231304,0.791304,0.0772304,920
360,1,12,1,2,0,2,0.291304,0.734783,0.168726,1013
361,1,12,0,3,1,3,0.243333,0.823333,0.316546,441
362,1,12,0,4,1,2,0.254167,0.652917,0.350133,2114
363,1,12,0,5,1,2,0.253333,0.59,0.155471,3095
364,1,12,0,6,0,2,0.253333,0.752917,0.124383,1341
365,1,12,0,0,0,1,0.255833,0.483333,0.350754,1796
366,1,12,0,1,1,2,0.215833,0.5775,0.154846,2729
